科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
微分積分学ⅡB,月4,B10,-----,菅野　孝史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7512b.15&je_cd=1&lct_idx=A000000000138428
線形代数学ⅡB,月3,A1,-----,宮地　秀樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.01&je_cd=1&lct_idx=A000000000138466
線形代数学ⅡB,木1,B2,-----,中川　彬雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.02&je_cd=1&lct_idx=A000000000138467
線形代数学ⅡB,木2,E10,-----,松谷　茂樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.03&je_cd=1&lct_idx=A000000000138468
線形代数学ⅡB,水3,E10,-----,松谷　茂樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.04&je_cd=1&lct_idx=A000000000138469
線形代数学ⅡB,木2,B10,-----,山本　悠貴,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.05&je_cd=1&lct_idx=A000000000138470
線形代数学ⅡB,水3,B3,-----,和田　啓吾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.06&je_cd=1&lct_idx=A000000000138471
線形代数学ⅡB,木1,D10,-----,VAN MEURS PATRICK JOHANNES PETRUS,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.07&je_cd=1&lct_idx=A000000000138472
線形代数学ⅡB,木2,D10,-----,菅野　孝史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.14&je_cd=1&lct_idx=A000000000138473
線形代数学ⅡB,木2,D10,-----,菅野　孝史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7514b.15&je_cd=1&lct_idx=A000000000138474
統計数学B,水3,C3,-----,勝見　昌明,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7515b.10&je_cd=1&lct_idx=A000000000138479
統計数学B,水3,F10,-----,山本　悠貴,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7515b.11&je_cd=1&lct_idx=A000000000138480
統計数学B,木1,B1,-----,藪野　エイエイウイン,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7515b.12&je_cd=1&lct_idx=A000000000138481
統計数学B,水4,F10,-----,山本　悠貴,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7515b.13&je_cd=1&lct_idx=A000000000138482
物理学ⅡB,木2,A1,-----,青木　真由美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.01&je_cd=1&lct_idx=A000000000138561
物理学ⅡB,木2,B4,-----,岡林　則夫,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.02&je_cd=1&lct_idx=A000000000138562
物理学ⅡB,木2,B3,学生数は教務担当者が調整することがあります．,宮田　敬太郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.03&je_cd=1&lct_idx=A000000000138563
物理学ⅡB,木1,B4,-----,井町　智彦,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.04&je_cd=1&lct_idx=A000000000138564
物理学ⅡB,木1,B3,-----,宮田　敬太郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.05&je_cd=1&lct_idx=A000000000138565
物理学ⅡB,木1,C5,-----,兵頭　政春,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.06&je_cd=1&lct_idx=A000000000138566
物理学ⅡB,月2,D4,-----,石島　達夫,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.07&je_cd=1&lct_idx=A000000000138567
物理学ⅡB,月2,B3,-----,遠藤　優,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.08&je_cd=1&lct_idx=A000000000138568
物理学ⅡB,水4,D4,特になし,長尾　秀実,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.11&je_cd=1&lct_idx=A000000000138569
物理学ⅡB,水4,D5,-----,安藤　利得,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.12&je_cd=1&lct_idx=A000000000138570
物理学ⅡB,月2,C2,-----,岡本　博之,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.14&je_cd=1&lct_idx=A000000000138571
物理学ⅡB,木1,C10,-----,斎藤　峯雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.15&je_cd=1&lct_idx=A000000000138572
物理学ⅡB,木1,C10,-----,斎藤　峯雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7522b.16&je_cd=1&lct_idx=A000000000138573
化学ⅡB,月2,B8,-----,古舘　英樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.01&je_cd=1&lct_idx=A000000000138620
化学ⅡB,月2,B1,-----,本田　光典,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.02&je_cd=1&lct_idx=A000000000138621
化学ⅡB,月2,C10,-----,坂井　良輔,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.03&je_cd=1&lct_idx=A000000000138622
化学ⅡB,木1,C3,-----,櫻井　武,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.04&je_cd=1&lct_idx=A000000000138623
化学ⅡB,月2,A1,-----,関根　克尚,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.07&je_cd=1&lct_idx=A000000000138624
化学ⅡB,木1,D4,-----,関根　克尚,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.08&je_cd=1&lct_idx=A000000000138625
化学ⅡB,月3,C5,-----,淺川　毅,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.09&je_cd=1&lct_idx=A000000000138626
化学ⅡB,月3,C5,-----,淺川　毅,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7532b.10&je_cd=1&lct_idx=A000000000138627
地学ⅡB,水4,D10,-----,福士　圭介,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7552b&je_cd=1&lct_idx=A000000000138633
科学技術と科学方法論（英語クラス）,火2,A1,96人,垣内　康孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75A10a.422&je_cd=1&lct_idx=A000000000138647
統計学から未来を見る（英語クラス）,月1,D2,10人,松浦　義昭,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75B10a.411&je_cd=1&lct_idx=A000000000138664
環境学とESD,月2,B4,65人,花本　征也,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75D20a.412&je_cd=1&lct_idx=A000000000138676
環境学とESD,月3,C1,99人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75D20a.413&je_cd=1&lct_idx=A000000000138677
環境学とESD,火3,B1,99人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75D20a.423&je_cd=1&lct_idx=A000000000138678
環境学とESD,火4,B1,99人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75D20a.424&je_cd=1&lct_idx=A000000000138679
生活と社会保障,火2,C1,99人,陳  萍,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75E20a.422&je_cd=1&lct_idx=A000000000138691
生活と社会保障,火4,A1,99人,陳  萍,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75E20a.424&je_cd=1&lct_idx=A000000000138692
生活と社会保障（英語クラス）,水5,D5,50人,村上　慎司,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75E20a.435&je_cd=1&lct_idx=A000000000138693
現代社会と人権,水2,B1,80人,飯田　玲子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75F21.432&je_cd=1&lct_idx=A000000000138709
現代社会と人権（英語クラス）,木2,C5,30人,飯田　玲子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75F21.442&je_cd=1&lct_idx=A000000000138710
現代社会と人権（英語クラス）,木3,D5,30人,飯田　玲子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=75F21.443&je_cd=1&lct_idx=A000000000138711
ドイツ語A（充実クラスⅠ-2）,月5,C9,30人,早川　文人,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7641b&je_cd=1&lct_idx=A000000000138721
ドイツ語A（充実クラスⅡ-2）,水2,D14,30人,KLACANSKA JANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7642b&je_cd=1&lct_idx=A000000000138723
フランス語A（充実クラスⅠ-2）,水2,D2,30人,阪上　るり子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7643b&je_cd=1&lct_idx=A000000000138725
中国語A（充実クラスⅠ-2）,月5,D8,30人,西村　英希,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7645b&je_cd=1&lct_idx=A000000000138727
中国語A（充実クラスⅡ-2）,水2,D6,30人,趙　菁,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=7646b&je_cd=1&lct_idx=A000000000138729
インテグレーテッド科学（物理の世界）,水2,D5,48人,岩﨑　宏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10a.432&je_cd=1&lct_idx=A000000000138739
インテグレーテッド科学（物理の世界）,木2,D5,48人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10a.442&je_cd=1&lct_idx=A000000000138740
インテグレーテッド科学（物理の世界）,金1,B3,48人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10a.451&je_cd=1&lct_idx=A000000000138741
インテグレーテッド科学（物理の世界）（英語クラス）,金2,B3,48人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10a.452&je_cd=1&lct_idx=A000000000138742
インテグレーテッド科学（化学の世界）,木2,C10,95人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10b.442&je_cd=1&lct_idx=A000000000138753
インテグレーテッド科学（化学の世界）,木3,C1,95人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76A10b.443&je_cd=1&lct_idx=A000000000138754
AI入門,月5,B10,60人,八柳　祐一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76B10.415&je_cd=1&lct_idx=A000000000146036
AI入門,火5,D4,60人,八柳　祐一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76B10.425&je_cd=1&lct_idx=A000000000146037
AI入門,水5,D4,60人,八柳　祐一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76B10.435&je_cd=1&lct_idx=A000000000146038
AI入門（英語クラス）,木4,C3,60人,八柳　祐一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76B10.444&je_cd=1&lct_idx=A000000000146039
AI入門（英語クラス）,金5,D4,60人,八柳　祐一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76B10.455&je_cd=1&lct_idx=A000000000146040
情報の科学,月4,C2,60人,WENG WEI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76C10.414&je_cd=1&lct_idx=A000000000138770
情報の科学,火3,B4,60人,髙田　良宏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76C10.423&je_cd=1&lct_idx=A000000000138771
情報の科学,火4,B4,60人,髙田　良宏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76C10.424&je_cd=1&lct_idx=A000000000138772
情報の科学（英語クラス）,木3,C2,60人,WENG WEI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76C10.443&je_cd=1&lct_idx=A000000000138773
情報の科学（英語クラス）,木4,C2,60人,WENG WEI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76C10.444&je_cd=1&lct_idx=A000000000138774
デザイン思考入門（英語クラス）,月3,C10,80人,秋田　純一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.413&je_cd=1&lct_idx=A000000000138786
デザイン思考入門,月3,D5,60人,林　透,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.41a&je_cd=1&lct_idx=A000000000138787
デザイン思考入門（英語クラス）,火3,C10,70人,有賀　三夏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.423&je_cd=1&lct_idx=A000000000138788
デザイン思考入門（英語クラス）,火5,C10,70人,有賀　三夏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.425&je_cd=1&lct_idx=A000000000138789
デザイン思考入門,水2,B4,60人,髙沼　理恵,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.432&je_cd=1&lct_idx=A000000000138790
デザイン思考入門（英語クラス）,水3,C10,70人,有賀　三夏,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76D10.433&je_cd=1&lct_idx=A000000000138791
論理学と数学の基礎（論理学から見る世界）（英語クラス）,水4,B10,70人,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76E10a.434&je_cd=1&lct_idx=A000000000138800
論理学と数学の基礎（論理学から見る世界）,水5,B10,70人,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76E10a.435&je_cd=1&lct_idx=A000000000138801
論理学と数学の基礎（数学的発想法）,火3,E10,90人,川越　謙一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76E10b.423&je_cd=1&lct_idx=A000000000138811
論理学と数学の基礎（数学的発想法）,火4,D2,20人,川越　謙一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=76E10b.424&je_cd=1&lct_idx=A000000000138812
ファイナンス基礎,金3,E10,-----,松本　拓史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-21101&je_cd=1&lct_idx=A000000000130118
テクノロジー基礎,月2,E10,-----,佐藤　賢二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-21301&je_cd=1&lct_idx=A000000000130136
形態・色彩デザイン論,火3,B2,-----,池上　貴之,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22009&je_cd=1&lct_idx=A000000000130206
ホスピタリティ概論,木5,D2,-----,岡　達哉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22101&je_cd=1&lct_idx=A000000000130146
ファイナンス基礎,金3,E10,-----,松本　拓史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22102&je_cd=1&lct_idx=A000000000130147
テクノロジー基礎,月2,E10,-----,佐藤　賢二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22103&je_cd=1&lct_idx=A000000000130148
日本の工芸とデザイン,水3〜4,A2,20名,佐藤　智哉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22117&je_cd=1&lct_idx=A000000000130227
北陸の都市・農村・文化,水2,D10,150人まで,佐無田　光,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-22121&je_cd=1&lct_idx=A000000000130231
テクノロジー基礎,月2,E10,-----,佐藤　賢二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-23101&je_cd=1&lct_idx=A000000000130255
ファイナンス基礎,金3,E10,-----,松本　拓史,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-23102&je_cd=1&lct_idx=A000000000130256
SDGs実践,月4,E15,30人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-31104&je_cd=1&lct_idx=A000000000130152
SDGs実践,月4,E15,30人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-32102&je_cd=1&lct_idx=A000000000130237
文化観光論,木3,B4,-----,井出　明,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-32103&je_cd=1&lct_idx=A000000000130238
観光開発・計画論,火4,E10,最大85人まで,川澄　厚志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-32504&je_cd=1&lct_idx=A000000000130246
地域社会学,水3,E15,-----,眞鍋　知子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-32505&je_cd=1&lct_idx=A000000000130247
未来型健康増進学,月3,D2,20人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90009&je_cd=1&lct_idx=A000000000143141
「生命」の科学と哲学,水3,B2,12人,垣内　康孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90013&je_cd=1&lct_idx=A000000000143144
論理学と数学の基礎2：述語論理入門,木4,D2,-----,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90031&je_cd=1&lct_idx=A000000000143145
国際政治理論から世界をみる,水2,C2,30人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90034&je_cd=1&lct_idx=A000000000143143
分子磁性入門,金2,B2,20人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90038&je_cd=1&lct_idx=A000000000143146
物理的思考と数学的アート,火2,D9,20人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=55-90040.02&je_cd=1&lct_idx=A000000000143142
ジェンダーと教育,月2,C1,100人,綿引　伴子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10016.002&je_cd=1&lct_idx=A000000000124366
異文化理解2,月1,A1,100人,弁納　才一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10020&je_cd=1&lct_idx=A000000000124368
未来型健康増進学,月3,D2,20人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10039&je_cd=1&lct_idx=A000000000151042
「生命」の科学と哲学,水3,B2,12人,垣内　康孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10043&je_cd=1&lct_idx=A000000000124379
データサイエンスの技術（国際学類学生対象）,金3,B1,75人,森　俊也,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10070.3&je_cd=1&lct_idx=A000000000124389
データサイエンスの技術(国際学類を除く人社学域学生対象),金3,B1,15人,森　俊也,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10070.4&je_cd=1&lct_idx=A000000000124390
論理学と数学の基礎2：述語論理入門,木4,D2,-----,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10076&je_cd=1&lct_idx=A000000000124393
国際政治理論から世界をみる,水2,C2,30人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10079&je_cd=1&lct_idx=A000000000124395
泉鏡花と金沢アート（STEAM教育入門）,木5,D5,20人,林　透,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10094&je_cd=1&lct_idx=A000000000124411
イノベーション人材論,木2,E1,36人,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-10096.004&je_cd=1&lct_idx=A000000000151963
分子磁性入門,金2,B2,20人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-100a3&je_cd=1&lct_idx=A000000000124423
物理的思考と数学的アート,火2,D9,20人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-100a5.02&je_cd=1&lct_idx=A000000000151045
地域創造学Ⅳ（令和3年度以前入学者対象）,金1,B1,-----,森山　治,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-15023&je_cd=1&lct_idx=A000000000130300
地域創造学Ⅲ（令和4年度以降入学者対象）,金1,B1,-----,森山　治,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-15043&je_cd=1&lct_idx=A000000000130319
地域創造学Ⅲ（E）,金1,B1,-----,,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-15043.2&je_cd=1&lct_idx=A000000000155959
異文化理解2,月1,A1,"The class size does not exceed 140 students. In case of excess, inscriptions are decided by lot.

クラス定員を140名とします。希望者数が超過した場合、あらかじめ抽選で受講者を決定します。",弁納　才一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16410&je_cd=1&lct_idx=A000000000134666
日本史概説2,水3,B7,"日本人学生約15名（適正人数を超えた場合は履修調査票によって決定）
留学生約15名",山本　洋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16413.102&je_cd=1&lct_idx=A000000000134669
日本史概論2,水3,B7,"日本人学生約15名（適正人数を超えた場合は履修調査票によって決定）
留学生約15名",山本　洋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16416.101&je_cd=1&lct_idx=A000000000136949
日本文化体験D（現代アートとデザイン）,集中,A2,20名,佐藤　智哉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16478.008&je_cd=1&lct_idx=A000000000152717
